,id_factura,user_id,email,nombre,ciudad,direccion,documento_identidad,subtotal,precio_envio,total,fecha
4764,24,chelsea.foster5005,acardona@example.net,Chelsea Foster,Cartagena,"Carrera 149P # 90-28, Piamonte, 850777",5276466764,4093138,10000,4103138,2023-09-16
8093,25,yesenia.gardiner5618,bejaranoelizabeth@example.net,Yesenia Gardiner,Cali,"Cl. 44 # 4-3, Marsella, 419487",2731565301,411765,10000,421765,2023-02-17
6542,26,cayla.hill7282,adrianabarrios@example.com,Cayla Hill,Medellín,"Carrera 141 # 3-11 Este, Cerrito, 684666",2877511516,3478017,10000,3488017,2023-10-05
562,27,chris.hoelscher8173,gamboateresa@example.org,Chris Hoelscher,Cali,"Carrera 49 # 92E-5 Este, Manzanares, 866618",1339762950,3690765,10000,3700765,2023-09-11
10820,28,mary.petitt3939,josevalencia@example.org,Mary Petitt,Cali,"Cl. 43 # 8-3 Sur, Nobsa, 201813",4973739861,37616490,10000,37626490,2023-06-19
8151,29,sheldon.crawford1387,david07@example.net,Sheldon Crawford,Medellín,"Cr. 7B # 52A-66 Este, Aracataca, 863123",5957611019,19593891,10000,19603891,2023-05-16
3049,30,nicholas.ward3257,mendezjulian@example.org,Nicholas Ward,Cali,"Cl. 6ª # 8-22 Sur, Nimaima, 764710",8249035611,20864355,10000,20874355,2023-03-10
753,31,lee.bowers7450,mcaceres@example.org,Lee Bowers,Cartagena,"Cr. 199 # 36-5 Este, Toribío, 762931",9741214492,4488982,10000,4498982,2023-12-02
9719,32,ricky.dugat840,montoyamario@example.net,Ricky Dugat,Cartagena,"Cr. 78 # 6-8 Este, El Dorado, 056137",7253437756,22896684,10000,22906684,2023-09-20
11742,33,tamera.kaufman4798,espinosaalfonso@example.com,Tamera Kaufman,Cartagena,"Carrera 44 # 67-39 Este, Cumaribo, 529310",2640671829,9550290,10000,9560290,2023-04-20
1888,34,elisabeth.keough4748,ariasangel@example.com,Elisabeth Keough,Bogotá,"Cl. 51 # 23F-1, Hato Corozal, 815186",2080797590,7694312,10000,7704312,2023-09-07
1110,35,jean.lobato7238,mariavergara@example.net,Jean Lobato,Bogotá,"Carrera 171 # 86-8 Este, Samacá, 418132",189830569,36119880,10000,36129880,2023-09-11
6285,36,betty.lambert5412,fjaramillo@example.net,Betty Lambert,Cali,"Cr. 31 # 5-9, San José de Toluviejo, 709317",5401897496,7531730,10000,7541730,2023-09-10
6121,37,sally.merritt4011,humbertorodriguez@example.com,Sally Merritt,Cartagena,"Calle 169 # 87-7, Carcasí, 819173",202494791,2515574,10000,2525574,2023-03-03
1031,38,betty.braun3972,garciaana@example.net,Betty Braun,Cali,"Carrera 45E # 33-76, Campohermoso, 540873",7588268495,7281369,10000,7291369,2023-03-05
4415,39,william.lawrence4926,tamayovanessa@example.com,William Lawrence,Medellín,"Carrera 15E # 3X-15, Guaduas, 540923",5330014665,6446259,10000,6456259,2023-12-15
2877,40,sheldon.crawford1387,david07@example.net,Sheldon Crawford,Medellín,"Cr. 7B # 52A-66 Este, Aracataca, 863123",5957611019,17816970,10000,17826970,2023-12-29
3606,41,dawn.goodman1598,gladys22@example.com,Dawn Goodman,Cali,"Calle 9ª # 90Z-6 Sur, Concepción, 978331",3759978816,18918616,10000,18928616,2023-06-16
9529,42,alton.terry500,ycorrea@example.com,Alton Terry,Cali,"Cr. 57 # 54-1 Sur, El Bagre, 173962",9476584711,6760596,10000,6770596,2023-11-18
2561,43,daniel.barton8351,hernandeznel@example.net,Daniel Barton,Cali,"Carrera 14 # 2-55 Este, Zambrano, 811071",6272204971,23697300,10000,23707300,2023-10-24
14208,44,john.anderson7332,monicajimenez@example.com,John Anderson,Medellín,"Dg. 76 # 9H-3, Morichal, 113483",2657065156,4455538,10000,4465538,2023-01-26
12604,45,sarah.lynch6846,psandoval@example.net,Sarah Lynch,Medellín,"Transversal 87 # 47-1 Este, Útica, 259716",2351296863,3384426,10000,3394426,2023-12-14
14545,46,dustin.kallevig6191,janeth16@example.org,Dustin Kallevig,Cali,"Carrera 186 # 5-71, Los Córdobas, 970399",163763152,1074860,10000,1084860,2023-04-23
13576,47,marjorie.deeter376,luzbuitrago@example.com,Marjorie Deeter,Bogotá,"Av. carrera 122 # 13-79, Dabeiba, 664852",9667081766,12546704,10000,12556704,2023-03-31
8920,48,mary.miller9582,paezhector@example.net,Mary Miller,Cali,"Carrera 28 # 2-4, Murindó, 114764",2313038726,5965536,10000,5975536,2023-09-23
6771,49,lee.stoppkotte5814,montesjohanna@example.org,Lee Stoppkotte,Cartagena,"Dg. 6I # 35-9, Santacruz, 882225",5152234493,1894979,10000,1904979,2023-11-03
431,50,david.schultz2532,tatianarodriguez@example.com,David Schultz,Bogotá,"Dg. 69 # 19-5 Este, Guadalupe, 919124",4918889744,12251235,10000,12261235,2023-09-05
4074,51,kenneth.gipson3101,ceciliarodriguez@example.net,Kenneth Gipson,Bogotá,"Avenida Planeta Rica # 1-2 Sur, Íquira, 051029",3762808076,32506528,10000,32516528,2023-10-14
12921,52,micah.linville6759,cgarcia@example.org,Micah Linville,Cali,"Calle 122 Sur # 7-38, Pisba, 203203",8249596682,9553320,10000,9563320,2023-04-20
14792,53,dona.coleman3166,fernandomoreno@example.com,Dona Coleman,Bogotá,"Calle 89 # 2-9 Este, Medina, 818614",1524145652,9700655,10000,9710655,2023-07-01
542,54,fernando.boothroyd9856,alejandragaviria@example.net,Fernando Boothroyd,Cartagena,"Av. calle 4ª # 6F-62 Sur, Neira, 709551",2698500530,16947906,10000,16957906,2023-08-02
9287,55,yolanda.cyr9764,luz63@example.net,Yolanda Cyr,Medellín,"Transversal 66 # 36-22 Sur, Teorama, 203476",9637308324,7243292,10000,7253292,2023-01-04
13699,56,jackie.gerleman1156,guillermodominguez@example.com,Jackie Gerleman,Cali,"Carrera 112 # 76-5, Amagá, 158233",1199064593,9648219,10000,9658219,2023-03-31
1478,57,jasmine.gilmer5943,aleida26@example.com,Jasmine Gilmer,Cali,"Cr. 65 # 1-64 Este, Soplaviento, 855743",7566037412,16463864,10000,16473864,2023-12-29
11825,58,karen.hoskins8437,kelly35@example.com,Karen Hoskins,Cali,"Carrera 61 # 92-9, Norcasia, 236101",6440712555,16145019,10000,16155019,2023-08-12
1337,59,lori.maddox4598,javiermartinez@example.org,Lori Maddox,Cartagena,"Cr. 27 # 46-38 Sur, El Cerrito, 863826",8357704853,27300160,10000,27310160,2023-07-17
12803,60,evan.williams1925,luzsuarez@example.com,Evan Williams,Medellín,"Cl. 8V # 9-7, Ciénega, 412141",4073679913,822477,10000,832477,2023-06-23
7108,61,thomas.garcia3205,umunoz@example.net,Thomas Garcia,Bogotá,"Calle 57 # 84-2 Sur, Pital, 157575",6337218357,24315158,10000,24325158,2024-01-01
11032,62,joseph.mason6558,dary20@example.org,Joseph Mason,Medellín,"Calle 15 # 88F-35 Sur, Lourdes, 976760",8154910971,23209554,10000,23219554,2023-02-19
8689,63,ethel.bowers8920,davidalvarez@example.com,Ethel Bowers,Cartagena,"Avenida David Edgar Valencia Arévalo # 1-3, Ariguaní, 178276",1408840698,12784432,10000,12794432,2023-03-10
1612,64,brenda.brown4857,zortiz@example.com,Brenda Brown,Cartagena,"Carrera 2X # 52-15 Sur, San Cayetano, 258427",9009106331,8948310,10000,8958310,2023-04-15
3098,65,rose.taylor1687,qvillamizar@example.org,Rose Taylor,Medellín,"Cl. 169 # 8-5 Sur, Medio Atrato, 705437",1502190480,11930658,10000,11940658,2023-09-04
1844,66,brandon.lomanto9666,sonia33@example.com,Brandon Lomanto,Medellín,"Cl. 13 # 24-38, Uribe, 888810",3532220906,4146082,10000,4156082,2023-11-21
9552,67,jose.browning3065,warteaga@example.org,Jose Browning,Cartagena,"Diagonal 164 # 9-46 Este, Pitalito, 942438",4662989607,33725610,10000,33735610,2023-01-25
2669,68,kent.harmon5863,sarmientofrancisco@example.com,Kent Harmon,Bogotá,"Cl. 186 # 2-16 Este, San Bernardo, 913506",5524605811,8871606,10000,8881606,2023-05-20
13171,69,kathy.puckett4027,crodriguez@example.com,Kathy Puckett,Bogotá,"Av. Norberto José Rojas # 6-7, San Martín de Loba, 959109",6903553249,2306575,10000,2316575,2023-12-23
13609,70,steven.hess106,josejaramillo@example.com,Steven Hess,Bogotá,"Avenida carrera 2ª # 23-4 Sur, Santo Domingo, 445446",2651901519,703068,10000,713068,2023-06-17
11730,71,otto.sweney237,reyesrosa@example.net,Otto Sweney,Medellín,"Av. Retiro # 5-7 Este, Briceño, 883208",7357982052,15019320,10000,15029320,2023-05-21
15,72,ellen.tarnoff4481,apalacios@example.org,Ellen Tarnoff,Medellín,"Carrera 175 # 77-1, San Pelayo, 522596",8100669007,9691476,10000,9701476,2023-09-10
11328,73,sharon.kennedy2491,yuliana35@example.com,Sharon Kennedy,Medellín,"Cl. 4ª # 83-7, Cerrito, 958705",6777022829,22807939,10000,22817939,2023-02-04
2244,74,reginald.larson2791,kmendoza@example.org,Reginald Larson,Bogotá,"Diagonal 121U # 3-7 Este, Coper, 054916",2737579552,21246000,10000,21256000,2023-05-30
12313,75,alice.walker4338,vargasjoel@example.org,Alice Walker,Medellín,"Cl. 9ª # 86-22, Morelia, 186487",7000590043,17623809,10000,17633809,2023-12-10
11631,76,george.pennington8901,yesenia52@example.org,George Pennington,Medellín,"Cr. 22 # 1L-53, Betulia, 999901",1699556917,4506504,10000,4516504,2023-05-08
7906,77,mary.houston7702,herrerasandra@example.org,Mary Houston,Bogotá,"Cr. 8ª # 99-57 Sur, Guayabetal, 951905",2807731039,9921788,10000,9931788,2023-08-24
13783,78,leslie.clark6125,victoriameza@example.org,Leslie Clark,Cali,"Avenida calle 186 # 35-7, El Carmen de Bolívar, 765068",1175895755,4519984,10000,4529984,2023-05-25
10119,79,ryan.shambo4827,pandrade@example.com,Ryan Shambo,Cali,"Avenida calle 153 # 5M-60 Este, Campamento, 810506",8353667532,2236570,10000,2246570,2023-09-05
1306,80,gladys.chatfield9410,kbeltran@example.net,Gladys Chatfield,Cali,"Carrera 134 # 5H-7, Bucaramanga, 810424",9295802638,932368,10000,942368,2023-03-28
9832,81,fred.vargas6635,patriciadelgado@example.net,Fred Vargas,Cali,"Cl. 6B # 6-8 Este, Gramalote, 977689",2869873312,5666656,10000,5676656,2023-06-24
1046,82,louis.stoney3319,kmolina@example.net,Louis Stoney,Cali,"Carrera 131I # 4-13 Sur, Neiva, 549624",1916040659,4861406,10000,4871406,2023-08-07
14089,83,jill.baumbach6030,gonzalezgallego@example.net,Jill Baumbach,Bogotá,"Transversal 30 # 1-4 Este, Pitalito, 856301",56380703,14531064,10000,14541064,2023-10-19
3047,84,david.riches2082,rubengonzalez@example.net,David Riches,Cali,"Carrera 105T # 5-4 Este, Nariño, 172969",8128874854,10233895,10000,10243895,2023-04-29
1150,85,roger.redmond8625,olayapatricia@example.net,Roger Redmond,Cali,"Carrera 51 # 2-3, Margarita, 919296",2219576020,16929462,10000,16939462,2023-12-04
9495,86,james.marinelli6006,inesmeza@example.com,James Marinelli,Cali,"Av. calle 121 # 74-48 Este, Oporapa, 440464",317708446,1554400,10000,1564400,2023-10-04
11645,87,betty.braun3972,garciaana@example.net,Betty Braun,Cali,"Carrera 45E # 33-76, Campohermoso, 540873",7588268495,19605089,10000,19615089,2023-05-09
3428,88,george.lewis4940,fernando81@example.com,George Lewis,Cali,"Av. carrera 129 # 7-57 Este, Concordia, 683603",7711412140,4086819,10000,4096819,2023-09-20
155,89,dorothy.brogan7471,john05@example.com,Dorothy Brogan,Bogotá,"Avenida carrera 5ª # 46-7 Sur, Concordia, 138909",4365860187,20422388,10000,20432388,2023-08-15
4409,90,frank.weaver540,maria96@example.net,Frank Weaver,Cartagena,"Calle 13 # 75-74, San Andrés, 171501",677572590,1527692,10000,1537692,2023-08-22
10835,91,kenny.duarte8279,david40@example.com,Kenny Duarte,Bogotá,"Carrera 45 # 8-1 Este, La Uvita, 151989",9305459746,2725712,10000,2735712,2023-10-30
11430,92,norris.clark5957,fcarvajal@example.net,Norris Clark,Bogotá,"Carrera 7J # 92-82 Sur, San Martín, 253491",5332143879,21323250,10000,21333250,2023-11-30
648,93,richard.tucker7495,pcorrea@example.com,Richard Tucker,Bogotá,"Av. Cesar # 8S-9 Este, San Gil, 637303",1487182017,7142542,10000,7152542,2023-05-06
9504,94,thomas.quintero9497,roger18@example.net,Thomas Quintero,Bogotá,"Cr. 49 # 42M-4, La Victoria, 543752",8036550332,8143312,10000,8153312,2023-12-14
7586,95,thomas.kirn7340,corteskevin@example.com,Thomas Kirn,Bogotá,"Av. carrera 4ª # 83M-9 Sur, Turbaná, 885277",4556650141,3968884,10000,3978884,2023-08-09
12042,96,brenda.chatfield2997,salzate@example.org,Brenda Chatfield,Cartagena,"Calle 9ª # 3-1 Sur, Piojó, 949745",5822380395,13758582,10000,13768582,2023-01-18
1679,97,joyce.warner7058,pablo28@example.net,Joyce Warner,Cartagena,"Av. Córdoba # 8-81, La Dorada, 189062",6897763855,16679856,10000,16689856,2023-12-22
10991,98,joshua.egbert7396,omar71@example.com,Joshua Egbert,Bogotá,"Calle 177J # 1-7 Este, Cuaspud Carlosama, 443154",8279873569,1799704,10000,1809704,2023-11-10
7255,99,adeline.lovan3002,dianaperez@example.com,Adeline Lovan,Bogotá,"Carrera 49 # 7-8 Sur, Cumaribo, 853920",976293664,18897728,10000,18907728,2023-05-09
7961,100,marion.suriel3631,velasquezelena@example.org,Marion Suriel,Medellín,"Calle 82 # 23-7, Fredonia, 185129",9547010957,11832352,10000,11842352,2023-08-27
4039,101,jackie.gerleman1156,guillermodominguez@example.com,Jackie Gerleman,Cali,"Carrera 112 # 76-5, Amagá, 158233",1199064593,14157165,10000,14167165,2023-11-15
243,102,peter.knight5090,ayalaedgar@example.org,Peter Knight,Cartagena,"Carrera 104 # 86-2, Chimichagua, 187257",250104358,15003226,10000,15013226,2023-08-22
1372,103,harry.bailey7496,wilsonvalencia@example.org,Harry Bailey,Bogotá,"Cl. 42V # 31-54, Guamo, 687824",8297790069,16422800,10000,16432800,2023-12-03
14922,104,rebecca.blazer9471,ygranados@example.com,Rebecca Blazer,Cali,"Carrera 14N # 7-1 Este, Betulia, 054538",5905164627,2050486,10000,2060486,2023-12-10
1214,105,dolores.pickard1919,paola37@example.net,Dolores Pickard,Cali,"Calle 3ª # 27O-88 Sur, Páramo, 949965",5082107023,10934520,10000,10944520,2023-01-13
7470,106,eveline.stovall318,fabiola08@example.com,Eveline Stovall,Medellín,"Av. carrera 199 # 76J-41 Este, Cachipay, 680526",7502856937,18829325,10000,18839325,2023-04-14
5024,107,robin.smith8759,arteagamarcela@example.com,Robin Smith,Cali,"Cl. 150U # 16-12 Sur, Hobo, 443077",4340852806,13575276,10000,13585276,2023-11-13
5848,108,eric.mccabe5023,patriciagranados@example.org,Eric Mccabe,Medellín,"Cr. 26K # 4-57 Este, Puerto Asís, 157464",4525696529,11375560,10000,11385560,2023-06-21
5271,109,harry.bailey7496,wilsonvalencia@example.org,Harry Bailey,Bogotá,"Cl. 42V # 31-54, Guamo, 687824",8297790069,1307574,10000,1317574,2023-11-01
4791,110,jasmine.venecia5032,medinamaria@example.net,Jasmine Venecia,Cali,"Cr. 6ª # 31N-7 Este, Colosó, 664130",5904591930,7211112,10000,7221112,2023-07-06
9537,111,lee.stoppkotte5814,montesjohanna@example.org,Lee Stoppkotte,Cartagena,"Dg. 6I # 35-9, Santacruz, 882225",5152234493,5478212,10000,5488212,2023-10-15
13681,112,joe.monson3617,karias@example.net,Joe Monson,Cartagena,"Cl. 18 # 5-4 Sur, La Jagua del Pilar, 993014",7142845248,15206328,10000,15216328,2023-01-26
10061,113,teresa.jackson7961,tbohorquez@example.net,Teresa Jackson,Cali,"Transversal 36Z Este # 2-17 Sur, Nobsa, 542778",7599627600,3092661,10000,3102661,2023-09-04
9987,114,larry.marcotte2002,juangiraldo@example.org,Larry Marcotte,Medellín,"Carrera 94A # 5-67, Chachagüí, 239235",3395212685,18410987,10000,18420987,2023-11-19
2944,115,christopher.derrick4026,xflorez@example.net,Christopher Derrick,Bogotá,"Carrera 109 # 98-63 Este, Simití, 155408",5594527697,31805568,10000,31815568,2023-11-05
5373,116,edward.brown3012,milena34@example.org,Edward Brown,Cali,"Cl. 124 # 7-83 Sur, Filadelfia, 817105",5983358135,429625,10000,439625,2023-03-04
461,117,robert.griffin5282,fparra@example.org,Robert Griffin,Medellín,"Av. Kelly Yohana Rico Sarmiento # 8-50, Gutiérrez, 233069",7843152500,1021239,10000,1031239,2023-11-28
1798,118,carol.basile3270,patricia03@example.org,Carol Basile,Cali,"Cl. 173 # 5-6, Jerusalén, 660353",8527636850,1735680,10000,1745680,2023-08-12
12852,119,hui.sweat259,iblanco@example.org,Hui Sweat,Medellín,"Cl. 75M # 16-32 Sur, San José de Miranda, 084942",9283966343,9642153,10000,9652153,2023-07-14
4565,120,remona.pranger2338,wilson77@example.com,Remona Pranger,Medellín,"Carrera 86 # 35-39 Este, Villanueva, 199261",8217239061,11819841,10000,11829841,2023-05-02
1478,121,tiara.racki8538,rubiela12@example.org,Tiara Racki,Medellín,"Cl. 10 # 27-97, La Gloria, 884400",6527590708,16463864,10000,16473864,2023-08-19
13826,122,edgar.hanneman8922,josemunoz@example.org,Edgar Hanneman,Cartagena,"Carrera 2ª # 53-7 Sur, El Colegio, 190129",9068182971,15534360,10000,15544360,2023-01-04
13900,123,joe.barker7573,salamancaalexander@example.com,Joe Barker,Cartagena,"Avenida calle 157 # 94-9 Este, Jardín, 255509",7240139360,5790826,10000,5800826,2023-03-03
4059,124,james.williams9606,andresgomez@example.com,James Williams,Bogotá,"Calle 179W # 44-5 Sur, Ciénaga, 114691",2053328822,15211341,10000,15221341,2023-04-30
14485,125,ethel.lehman8859,rodriguezharold@example.net,Ethel Lehman,Cartagena,"Cr. 97Y # 20-4 Sur, Santa Rosa, 444224",1362777136,28686879,10000,28696879,2023-02-09
715,126,louis.welte2806,mgonzalez@example.net,Louis Welte,Cali,"Av. calle 74 # 52-7 Este, Puerto Rondón, 117046",7729317243,14767695,10000,14777695,2023-02-06
6407,127,thomas.chang7189,lbolanos@example.org,Thomas Chang,Cali,"Carrera 140L Sur # 3G-3, Aguada, 500032",1858048172,6765484,10000,6775484,2023-04-25
6221,128,heather.lampert7670,ecuesta@example.com,Heather Lampert,Bogotá,"Calle 36 # 16-8 Este, San Antonio, 252100",5396595116,11535153,10000,11545153,2023-03-19
2760,129,marion.suriel3631,velasquezelena@example.org,Marion Suriel,Medellín,"Calle 82 # 23-7, Fredonia, 185129",9547010957,734661,10000,744661,2023-10-25
5195,130,mark.waite8690,gladys99@example.net,Mark Waite,Bogotá,"Carrera 85 # 8-83, Recetor, 414423",9860977281,5041932,10000,5051932,2023-01-22
7500,131,angela.battle2173,mercedes51@example.com,Angela Battle,Cartagena,"Av. carrera 167 # 6-35, Vijes, 700044",4166189873,949132,10000,959132,2023-12-12
1067,132,florence.kimball4212,icastellanos@example.com,Florence Kimball,Cartagena,"Cr. 9P Bis D # 45-6 Sur, Puerto Carreño, 544996",1140208259,11629545,10000,11639545,2023-05-17
12820,133,lillian.labrum6073,milena04@example.net,Lillian Labrum,Cali,"Carrera 1ª # 7-63, Rionegro, 116244",9533136225,13533534,10000,13543534,2023-05-07
7710,134,julio.baumann4044,mauricio85@example.com,Julio Baumann,Medellín,"Transversal 14 # 12-87 Sur, Piendamó - Tunía, 500728",6215114302,16156350,10000,16166350,2023-06-25
9764,135,dixie.abbott2846,renteriasantiago@example.net,Dixie Abbott,Cali,"Av. carrera 48 # 63-93 Sur, Maripí, 867268",9106494573,16372552,10000,16382552,2023-05-05
13159,136,sara.johnson1467,omaira71@example.com,Sara Johnson,Bogotá,"Cl. 177 # 56-9 Sur, Plato, 272532",9791561215,3906039,10000,3916039,2023-08-22
9991,137,leo.velasquez4869,vanessaduarte@example.net,Leo Velasquez,Bogotá,"Cl. 127 # 36E-7 Sur, San Sebastián de Mariquita, 856798",1230071265,11621412,10000,11631412,2023-07-12
3885,138,nadine.stpierre4228,elvirauribe@example.com,Nadine Stpierre,Cali,"Diagonal 36 # 13-3, Ayapel, 155038",4785636408,8405972,10000,8415972,2023-10-18
13252,139,joseph.andres45,patricia96@example.com,Joseph Andres,Medellín,"Calle 5 Bis # 34E-3, Aguachica, 052686",3147540958,32824539,10000,32834539,2023-10-28
6713,140,betty.miller5777,yrojas@example.org,Betty Miller,Cali,"Avenida Duarte # 9I-3, Pital, 946949",889738418,3093505,10000,3103505,2023-12-20
12016,141,maria.brunson8406,rodriguezhumberto@example.org,Maria Brunson,Medellín,"Av. carrera 8ª # 3-8, Jardín, 230351",7130615121,9892722,10000,9902722,2023-02-11
7676,142,kenneth.guthrie6045,rangulo@example.com,Kenneth Guthrie,Medellín,"Diagonal 42 # 2-97 Sur, Pácora, 088713",5749155188,6284385,10000,6294385,2023-04-03
14546,143,thomas.hawkins447,soniamunoz@example.net,Thomas Hawkins,Bogotá,"Calle 44 # 98-5 Sur, Juradó, 273810",619279042,20066600,10000,20076600,2023-05-17
96,144,karen.prechtl6764,phoyos@example.com,Karen Prechtl,Cartagena,"Cl. 121M # 85-6 Este, Tierralta, 416360",8453058495,17103708,10000,17113708,2023-05-09
269,145,ben.rudio7787,juliana20@example.net,Ben Rudio,Medellín,"Calle 102 # 2-40 Sur, Bagadó, 152192",8277624240,12245796,10000,12255796,2023-09-01
11274,146,william.seeley2157,fernandezana@example.org,William Seeley,Medellín,"Tr. 120P # 7O-6, San Andrés, 667730",2495671475,1268234,10000,1278234,2023-02-10
6423,147,lanora.brown3417,johanarojas@example.org,Lanora Brown,Bogotá,"Carrera 5J # 1-6 Este, San Pedro de Urabá, 940979",7295209863,4241312,10000,4251312,2023-05-15
10119,148,carlos.effron7135,lucyvelasquez@example.com,Carlos Effron,Bogotá,"Av. calle 1ª # 8-1, Ulloa, 815294",7315148430,2236570,10000,2246570,2023-04-19
889,149,james.price1053,pachecojuan@example.org,James Price,Medellín,"Cl. 180 # 4-9 Sur, Nuquí, 274460",4633730027,20725065,10000,20735065,2023-08-23
152,150,ronnie.erling8172,tanaya@example.org,Ronnie Erling,Cartagena,"Calle 83 # 6X-5 Sur, Vegachí, 850582",8970178204,5752917,10000,5762917,2023-03-10
9930,151,jerry.koehne1754,dorismedina@example.org,Jerry Koehne,Medellín,"Av. calle 49 # 3-8, Armero, 522280",7944153360,2764419,10000,2774419,2023-01-03
10656,152,richard.powers7137,ortegajaneth@example.org,Richard Powers,Cartagena,"Tr. 171W # 77-6, Susa, 207487",3715583837,6497094,10000,6507094,2023-08-28
3212,153,jessica.grett8886,rrodriguez@example.org,Jessica Grett,Medellín,"Avenida Meta # 60-9, Santa Bárbara, 542363",8905721090,6683940,10000,6693940,2023-11-19
8798,154,nena.fernandez4501,zguerrero@example.org,Nena Fernandez,Bogotá,"Avenida calle 9ª # 95-5, Santa Lucía, 277793",711173423,8506554,10000,8516554,2023-09-30
7740,155,alma.brewer553,guerreroerick@example.com,Alma Brewer,Cali,"Cl. 30 # 9-9 Sur, Buenavista, 866058",9209143207,20475120,10000,20485120,2023-12-05
489,156,delores.pierson8242,jose67@example.net,Delores Pierson,Cali,"Avenida calle 101 # 4Z-9 Sur, Soacha, 547949",1835076659,21529515,10000,21539515,2023-03-02
152,157,bruce.padilla8562,xbecerra@example.com,Bruce Padilla,Medellín,"Cr. 150 # 2-87 Este, Argelia, 193996",8530786929,5752917,10000,5762917,2023-09-14
3410,158,richard.crumpler8409,nelcy45@example.org,Richard Crumpler,Medellín,"Cr. 66 # 25-36 Este, Campamento, 688218",1558712254,9188901,10000,9198901,2023-03-18
